# Tonet shortcut reference (Chromium-style; bindings vary by OS / keyboard layout)
Back	Alt + Left · AltGr + Left
Forward	Alt + Right · AltGr + Right
Reload	Ctrl + R · F5
Home	Alt + Home
Stop	Esc
Reload bypassing cache	Ctrl + Shift + R · Ctrl + F5 · Shift + F5
Reload clearing cache	—
New window	Ctrl + N
New Private window	Ctrl + Shift + N
Close window	Ctrl + Shift + W · Alt + F4
New tab	Ctrl + T
Close tab	Ctrl + W · Ctrl + F4
Next tab	Ctrl + Tab · Ctrl + PageDown
Previous tab	Ctrl + Shift + Tab · Ctrl + PageUp
Select tab 0	Ctrl + 0 · Ctrl + Num0
Select tab 1	Ctrl + 1 · Ctrl + Num1
Select tab 2	Ctrl + 2 · Ctrl + Num2
Select tab 3	Ctrl + 3 · Ctrl + Num3
Select tab 4	Ctrl + 4 · Ctrl + Num4
Select tab 5	Ctrl + 5 · Ctrl + Num5
Select tab 6	Ctrl + 6 · Ctrl + Num6
Select tab 7	Ctrl + 7 · Ctrl + Num7
Select last tab	Ctrl + 9 · Ctrl + Num9
Duplicate tab	—
Reopen closed tab	Ctrl + Shift + T
Show as tab	—
Full screen	F11
Exit	Alt + F4
Move tab next	Ctrl + Shift + PageDown
Move tab previous	Ctrl + Shift + PageUp
Search	Ctrl + K · Ctrl + E
Minimize window	—
Maximize window	—
Show all windows	—
Name window…	—
Open in PWA window	—
Move tab to new window	—
New split view with current tab	—
Copy URL	—
Open in default browser	—
Web app settings	—
Web app info	—
Add new tab to group	Alt + Shift + C
Create new tab group	Alt + Shift + P
Focus next tab group	Alt + Shift + X
Focus previous tab group	Alt + Shift + Z
Close tab group	Alt + Shift + W
Bookmark this tab…	Ctrl + D
Bookmark all tabs…	Ctrl + Shift + D
View source	Ctrl + U
Print	Ctrl + P
Save page as…	Ctrl + S
Email page URL	—
Basic print	Ctrl + Shift + P
Translate…	—
Route media	—
Mute site	—
Pin tab	—
Group tab	—
QR code generator	—
Close tabs to the right	—
Close other tabs	—
New tab to the right	—
Offers and rewards for page	—
Sharing hub	—
Sharing hub screenshot	Ctrl + Shift + S
Show password manager	—
Show payment methods	—
Show addresses	—
Open Guest profile	—
Add new profile	—
Cut	Ctrl + X
Copy	Ctrl + C
Paste	Ctrl + V
Find…	Ctrl + F
Find next	Ctrl + G · F3
Find previous	Ctrl + Shift + G · Shift + F3
Close find or stop	Escape
Zoom in	Ctrl + = · Ctrl + Num+ · Ctrl + Shift + =
Reset zoom	Ctrl + 0 · Ctrl + Num0
Zoom out	Ctrl + - · Ctrl + Num- · Ctrl + Shift + -
Focus toolbar	Alt + Shift + T
Focus location	Ctrl + L · Alt + D
